id,name,parkName
alpine-national-park-anglers-rest-camping-area-alpine-national-park,"Anglers Rest Camping Area, Alpine National Park",Alpine National Park
alpine-national-park-bennies-camping-area-alpine-national-park,"Bennies Camping Area, Alpine National Park",Alpine National Park
alpine-national-park-berrima-river-alpine-national-park,"Berrima River, Alpine National Park",Alpine National Park
alpine-national-park-buckety-plain-camping-area-alpine-national-park,"Buckety Plain Camping Area, Alpine National Park",Alpine National Park
alpine-national-park-crb-camp-area-alpine-national-park,"CRB Camp Area, Alpine National Park",Alpine National Park
alpine-national-park-christie-orourkes-alpine-national-park,"Christie Orourkes, Alpine National Park",Alpine National Park
alpine-national-park-eaglevale-camping-area-alpine-national-park,"Eaglevale Camping Area, Alpine National Park",Alpine National Park
alpine-national-park-fishermans-bend-alpine-national-park,"Fishermans Bend, Alpine National Park",Alpine National Park
alpine-national-park-gibbo-river-camping-area-alpine-national-park,"Gibbo River Camping Area, Alpine National Park",Alpine National Park
alpine-national-park-hermit-creek-alpine-national-park,"Hermit Creek, Alpine National Park",Alpine National Park
alpine-national-park-langford-west-camping-area-alpine-national-park,"Langford West Camping Area, Alpine National Park",Alpine National Park
alpine-national-park-limestone-creek-camp-area-alpine-national-park,"Limestone Creek Camp Area, Alpine National Park",Alpine National Park
alpine-national-park-macalister-springs-alpine-national-park,"MacAlister Springs, Alpine National Park",Alpine National Park
alpine-national-park-mount-tingaringy-alpine-national-park,"Mount Tingaringy, Alpine National Park",Alpine National Park
alpine-national-park-mountain-creek-picnic-area-and-camping-area-alpine-national-park,"Mountain Creek Picnic Area and Camping Area, Alpine National Park",Alpine National Park
alpine-national-park-pioneer-racecourse-alpine-national-park,"Pioneer Racecourse, Alpine National Park",Alpine National Park
alpine-national-park-raspberry-hill-picnic-camping-area-alpine-national-park,"Raspberry Hill Picnic & Camping Area, Alpine National Park",Alpine National Park
alpine-national-park-roaring-camp-alpine-national-park,"Roaring Camp, Alpine National Park",Alpine National Park
alpine-national-park-sandy-creek-camping-area-alpine-national-park,"Sandy Creek Camping Area, Alpine National Park",Alpine National Park
alpine-national-park-surveyors-creek-alpine-national-park,"Surveyors Creek, Alpine National Park",Alpine National Park
alpine-national-park-taylors-camp-alpine-national-park,"Taylors Camp, Alpine National Park",Alpine National Park
alpine-national-park-taylors-crossing-camp-area-alpine-national-park,"Taylors Crossing Camp Area, Alpine National Park",Alpine National Park
alpine-national-park-the-joker-camping-area-alpine-national-park,"The Joker Camping Area, Alpine National Park",Alpine National Park
alpine-national-park-the-playgrounds-alpine-national-park,"The Playgrounds, Alpine National Park",Alpine National Park
alpine-national-park-the-poplars-camping-area-alpine-national-park,"The Poplars Camping Area, Alpine National Park",Alpine National Park
alpine-national-park-top-crossing-alpine-national-park,"Top Crossing, Alpine National Park",Alpine National Park
alpine-national-park-willis-camp-area-alpine-national-park,"Willis Camp Area, Alpine National Park",Alpine National Park
alpine-national-park-wombat-post-office-camping-area-alpine-national-park,"Wombat Post Office Camping Area, Alpine National Park",Alpine National Park
alpine-national-park-wonnangatta-station-alpine-national-park,"Wonnangatta Station*, Alpine National Park",Alpine National Park
barmah-national-park-barmah-lakes-proposed-murray-river-park-part,"Barmah Lakes, Proposed Murray River Park (part)",Barmah National Park
barmah-national-park-not-attached-to-a-site,_Not Attached to a Site,Barmah National Park
baw-baw-national-park-aberfeldy-bridge-baw-baw-national-park,"Aberfeldy Bridge, Baw Baw National Park",Baw Baw National Park
baw-baw-national-park-eastern-tyers-baw-baw-national-park,"Eastern Tyers, Baw Baw National Park",Baw Baw National Park
baw-baw-national-park-mushroom-rocks-baw-baw-national-park,"Mushroom Rocks, Baw Baw National Park",Baw Baw National Park
black-range-state-park-burrunj-campground-black-range-state-park,"Burrunj Campground, Black Range State Park",Black Range State Park
buchan-at-cave-reserve-buchan-work-centre-buchan-at-cave-reserve,"Buchan, Work Centre, Buchan (AT) Cave Reserve",Buchan (AT) Cave Reserve
bunyip-state-park-nash-creek-camping-area-bunyip-state-park,"Nash Creek Camping Area, Bunyip State Park",Bunyip State Park
burrowa-pine-mountain-national-park-black-mountain-burrowa-pine-mountain-national-park,"Black Mountain, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park
burrowa-pine-mountain-national-park-bluegum-camp-burrowa-pine-mountain-national-park,"Bluegum Camp, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park
burrowa-pine-mountain-national-park-bluff-creek-burrowa-pine-mountain-national-park,"Bluff Creek, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park
burrowa-pine-mountain-national-park-hinces-creek-burrowa-pine-mountain-national-park,"Hinces Creek, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park
burrowa-pine-mountain-national-park-hinces-saddle-burrowa-pine-mountain-national-park,"Hinces Saddle, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park
burrowa-pine-mountain-national-park-pine-mountain-picnic-area-burrowa-pine-mountain-national-park,"Pine Mountain Picnic Area, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park
burrowa-pine-mountain-national-park-ross-lookout-burrowa-pine-mountain-national-park,"Ross Lookout, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park
burrowa-pine-mountain-national-park-the-ridge-burrowa-pine-mountain-national-park,"The Ridge, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park
castlemaine-diggings-national-heritage-park-vaughan-spring-castlemaine-diggings-national-heritage-park,"Vaughan Spring, Castlemaine Diggings National Heritage Park",Castlemaine Diggings National Heritage Park
cobram-r-p-big-toms-bend-cobram-r-p,"Big Toms Bend, Cobram R.P",Cobram R.P
cobram-r-p-horse-shoe-bend-cobram-r-p,"Horse-shoe Bend, Cobram R.P",Cobram R.P
cobram-r-p-scotts-beach-cobram-r-p,"Scotts Beach, Cobram R.P",Cobram R.P
crawford-river-r-p-hiscocks-camping-area-crawford-river-r-p,"Hiscocks Camping Area, Crawford River R.P",Crawford River R.P
creswick-r-p-eatons-dam-creswick-r-p,"Eatons Dam, Creswick R.P.",Creswick R.P.
creswick-r-p-slatey-creek-picnic-area-no-1-creswick-r-p,"Slatey Creek Picnic Area No 1, Creswick R.P.",Creswick R.P.
creswick-r-p-slatey-creek-picnic-area-no-2-creswick-r-p,"Slatey Creek Picnic Area No 2, Creswick R.P.",Creswick R.P.
creswick-r-p-slatey-creek-picnic-area-no-3-creswick-r-p,"Slatey Creek Picnic Area No 3, Creswick R.P.",Creswick R.P.
croajingolong-national-park-clinton-rocks-croajingolong-national-park,"Clinton Rocks, Croajingolong National Park",Croajingolong National Park
croajingolong-national-park-gale-hill-croajingolong-national-park,"Gale Hill, Croajingolong National Park",Croajingolong National Park
echuca-r-p-christies-beach-camping-area-echuca-r-p,"Christies Beach Camping Area, Echuca R.P",Echuca R.P
enfield-state-park-surface-point-picnic-ground-enfield-state-park,"Surface Point Picnic Ground, Enfield State Park",Enfield State Park
errinundra-national-park-bonang-river-errinundra-national-park,"Bonang River, Errinundra National Park",Errinundra National Park
errinundra-national-park-tea-tree-flat-errinundra-national-park,"Tea Tree Flat, Errinundra National Park",Errinundra National Park
errinundra-national-park-not-attached-to-a-site,_Not Attached to a Site,Errinundra National Park
ewing-morass-w-r-trident-arm-camping-area-lake-tyers-s-p,"Trident Arm Camping Area, Lake Tyers S.P.",Ewing Morass W.R
grampians-national-park-kalymna-falls-campground-grampians-national-park,"Kalymna Falls Campground, Grampians National Park",Grampians National Park
grant-h-a-grant-historic-township-grant-h-a,"Grant Historic Township, Grant H.A.",Grant H.A.
grant-h-a-talbotville-historic-township-grant-h-a,"Talbotville Historic Township, Grant H.A.",Grant H.A.
gundowring-ss-r-not-attached-to-a-site,_Not Attached to a Site,Gundowring SS.R.
heathcote-graytown-national-park-dargile-heathcote-graytown-national-park,"Dargile, Heathcote-Graytown National Park",Heathcote-Graytown National Park
holey-plains-state-park-harrier-swamp-holey-plains-state-park,"Harrier Swamp, Holey Plains State Park",Holey Plains State Park
holey-plains-state-park-holey-hill-holey-plains-state-park,"Holey Hill, Holey Plains State Park",Holey Plains State Park
kooyoora-state-park-melville-caves-camping-area-kooyoora-state-park,"Melville Caves Camping Area, Kooyoora State Park",Kooyoora State Park
lake-albacutya-park-o-t-i-t-from-fishers-lake-albacutya-park,"O.T.I.T. From Fishers, Lake Albacutya Park",Lake Albacutya Park
lake-albacutya-park-western-beach-lake-albacutya-park,"Western Beach, Lake Albacutya Park",Lake Albacutya Park
lake-albacutya-park-yaapeet-beach-lake-albacutya-park,"Yaapeet Beach, Lake Albacutya Park",Lake Albacutya Park
lake-ratzcastle-l-r-lake-ratzcastle-lake-reserve-lake-ratzcastle-l-r,"Lake Ratzcastle Lake Reserve, Lake Ratzcastle L.R.",Lake Ratzcastle L.R.
lake-tyers-s-p-camerons-arms-no-1-lake-tyers-s-p,"Camerons Arms No. 1, Lake Tyers S.P.",Lake Tyers S.P.
lake-tyers-s-p-the-glasshouse-lake-tyers-s-p,"The Glasshouse, Lake Tyers S.P.",Lake Tyers S.P.
lake-tyers-s-p-trident-arm-picinc-area-lake-tyers-s-p,"Trident Arm Picinc Area, Lake Tyers S.P.",Lake Tyers S.P.
lal-lal-bungal-h-a-lal-lal-bungle-historic-area-lal-lal-bungal-h-a,"Lal Lal Bungle Historic Area, Lal Lal - Bungal H.A.",Lal Lal - Bungal H.A.
leaghur-state-park-south-of-lake-meran-leaghur-state-park,"South of Lake Meran, Leaghur State Park",Leaghur State Park
lerderderg-state-park-o-briens-crossing-lerderderg-state-park,"O'Briens Crossing, Lerderderg State Park",Lerderderg State Park
macleod-morass-w-r-macleod-morass-macleod-morass-w-r,"MacLeod Morass, Macleod Morass W.R.",Macleod Morass W.R.
mitchell-river-national-park-jerguson-point-mitchell-river-national-park,"Jerguson Point, Mitchell River National Park",Mitchell River National Park
mitchell-river-national-park-rock-creek-mitchell-river-national-park,"Rock Creek, Mitchell River National Park",Mitchell River National Park
mitchell-river-national-park-woolshed-creek-camping-area-mitchell-river-national-park,"Woolshed Creek Camping Area, Mitchell River National Park",Mitchell River National Park
moondarra-state-park-seninis-visitor-area-moondarra-state-park,"Seninis Visitor Area, Moondarra State Park",Moondarra State Park
mornington-peninsula-national-park-greens-bush-mornington-peninsula-national-park,"Greens Bush, Mornington Peninsula National Park",Mornington Peninsula National Park
mount-beckworth-s-r-bracken-gully-picnic-area-mount-beckworth-s-r,"Bracken Gully Picnic Area, Mount Beckworth S.R.",Mount Beckworth S.R.
mount-beckworth-s-r-manna-gums-picnic-area-mount-beckworth-s-r,"Manna Gums Picnic Area, Mount Beckworth S.R.",Mount Beckworth S.R.
mount-beckworth-s-r-the-cork-oaks-picnic-area-mount-beckworth-s-r,"The Cork Oaks Picnic Area, Mount Beckworth S.R.",Mount Beckworth S.R.
mount-beckworth-s-r-the-dam-picnic-area-mount-beckworth-s-r,"The Dam Picnic Area, Mount Beckworth S.R.",Mount Beckworth S.R.
mount-difficult-plantation-campground-plantation-campground-mount-difficult-plantation-campground,"Plantation Campground, Mount Difficult Plantation Campground",Mount Difficult Plantation Campground
mount-eccles-national-park-mt-eccles-mount-eccles-national-park,"Mt Eccles, Mount Eccles National Park",Mount Eccles National Park
mount-lawson-state-park-mt-lawson-summit-mount-lawson-state-park,"Mt Lawson Summit, Mount Lawson State Park",Mount Lawson State Park
mount-mitta-mitta-r-p-embry-lookout-mount-mitta-mitta-r-p,"Embry Lookout, Mount Mitta Mitta R.P",Mount Mitta Mitta R.P
mount-samaria-state-park-camphora-campsite-mount-samaria-state-park,"Camphora Campsite, Mount Samaria State Park",Mount Samaria State Park
mount-samaria-state-park-samaria-well-mount-samaria-state-park,"Samaria Well, Mount Samaria State Park",Mount Samaria State Park
mount-wills-h-a-big-river-camp-area-mount-wills-h-a,"Big River Camp Area, Mount Wills H.A",Mount Wills H.A
pheasant-creek-f-r-pikes-dam-pheasant-creek-f-r,"Pikes Dam, Pheasant Creek F.R.",Pheasant Creek F.R.
port-campbell-national-park-sherbrook-guide-camp-port-campbell-national-park,"Sherbrook Guide Camp, Port Campbell National Park",Port Campbell National Park
port-campbell-recreation-and-camping-reserve-port-campbell-precinct-port-campbell-coastal-reserve,"Port Campbell precinct, Port Campbell Coastal Reserve",Port Campbell Recreation and Camping Reserve
proposed-murray-river-park-part-horse-shoe-bend-cobram-r-p,"Horse-shoe Bend, Cobram R.P",Proposed Murray River Park (part)
river-murray-reserve-bourkes-bend-proposed-murray-river-park-part,"Bourkes Bend, Proposed Murray River Park (part)",River Murray Reserve
river-murray-reserve-bruces-bend-yarrawonga-r-p,"Bruces Bend, Yarrawonga R.P",River Murray Reserve
river-murray-reserve-burrowye-reserve-campground-river-murray-reserve,"Burrowye Reserve Campground, River Murray Reserve",River Murray Reserve
river-murray-reserve-clarkes-lagoon-visitor-area-river-murray-reserve,"Clarkes Lagoon Visitor Area, River Murray Reserve",River Murray Reserve
river-murray-reserve-cobrawonga-island-river-murray-reserve,"Cobrawonga Island, River Murray Reserve",River Murray Reserve
river-murray-reserve-indigo-falls-baranduda-r-p,"Indigo Falls, Baranduda R.P.",River Murray Reserve
river-murray-reserve-jingelic-visitor-area-river-murray-reserve,"Jingelic Visitor Area, River Murray Reserve",River Murray Reserve
river-murray-reserve-neils-reserve-river-murray-reserve,"Neils Reserve, River Murray Reserve",River Murray Reserve
river-murray-reserve-nevins-bend-river-murray-reserve,"Nevins Bend, River Murray Reserve",River Murray Reserve
snowy-river-national-park-balley-hooley-snowy-river-national-park,"Balley Hooley, Snowy River National Park",Snowy River National Park
snowy-river-national-park-bull-flat-snowy-river-national-park,"Bull Flat, Snowy River National Park",Snowy River National Park
snowy-river-national-park-hicks-snowy-river-national-park,"Hicks, Snowy River National Park",Snowy River National Park
snowy-river-national-park-little-river-junction-snowy-river-national-park,"Little River Junction, Snowy River National Park",Snowy River National Park
snowy-river-national-park-raymond-creek-falls-snowy-river-national-park,"Raymond Creek Falls, Snowy River National Park",Snowy River National Park
snowy-river-national-park-waratah-flat-snowy-river-national-park,"Waratah Flat, Snowy River National Park",Snowy River National Park
snowy-river-national-park-white-box-snowy-river-national-park,"White Box, Snowy River National Park",Snowy River National Park
tocumwal-r-p-eastern-section-tocumwal-r-p,"Eastern Section, Tocumwal R.P",Tocumwal R.P
victoria-falls-h-a-victoria-falls-camp-area-victoria-falls-h-a,"Victoria Falls Camp Area, Victoria Falls H.A",Victoria Falls H.A
whroo-h-a-not-attached-to-a-site,_Not Attached to a Site,Whroo H.A.
wyperfeld-national-park-casuarina-campground-wyperfeld-national-park,"Casuarina Campground, Wyperfeld National Park",Wyperfeld National Park
wyperfeld-national-park-remote-camp-wyperfeld-national-park,"Remote Camp, Wyperfeld National Park",Wyperfeld National Park
yarrawonga-r-p-bruces-bend-yarrawonga-r-p,"Bruces Bend, Yarrawonga R.P",Yarrawonga R.P
yarrawonga-r-p-chinamans-bend-yarrawonga-r-p,"Chinamans Bend, Yarrawonga R.P",Yarrawonga R.P
yarrawonga-r-p-forges-bend-yarrawonga-r-p,"Forges Bend, Yarrawonga R.P",Yarrawonga R.P
yarrawonga-r-p-the-common-yarrawonga-r-p,"The Common, Yarrawonga R.P",Yarrawonga R.P
